objectid,codbairro,bairro,area_planejamento,cod_rp,rp,ra,regiao_adm,total_transações,uso,média_percentual_transferido,média_área_terreno,média_valor_transações,média_valor_imóvel,principal_transação_mercado,ano_transação
377627,131,Vargem Grande             ,4,4.2,Barra da Tijuca,24,BARRA DA TIJUCA         ,38,TERRITORIAL,30.533421,117576.68421,1460854385,41825790.741578,COMPRA E VENDA,2020
377628,107,Anchieta                  ,3,3.6,Pavuna,22,ANCHIETA                ,1,TERRITORIAL,100,225,41041.01,41041.01,COMPRA E VENDA,2017
377629,92,Zumbi                     ,3,3.7,Ilha do Governador,20,ILHA DO GOVERNADOR      ,2,TERRITORIAL,100,1114.5,341879995,341879995,COMPRA E VENDA,2017
377630,108,Parque Anchieta           ,3,3.6,Pavuna,22,ANCHIETA                ,9,TERRITORIAL,83.333333,252.333333,39210.385555,48403.77,COMPRA E VENDA,2017
377631,109,Ricardo de Albuquerque    ,3,3.6,Pavuna,22,ANCHIETA                ,3,TERRITORIAL,100,424,70999.493333,70999.493333,COMPRA E VENDA,2017
377632,42,Olaria                    ,3,3.1,Ramos,10,RAMOS                   ,2,TERRITORIAL,100,208,122994.03,122994.03,COMPRA E VENDA,2017
377633,73,Vicente de Carvalho       ,3,3.3,Madureira,14,IRAJA                   ,2,TERRITORIAL,100,211,136136,136136,COMPRA E VENDA,2017
377634,89,Bento Ribeiro             ,3,3.3,Madureira,15,MADUREIRA               ,2,TERRITORIAL,58335,261.5,60317405,76186595,COMPRA E VENDA,2017
377635,54,Inhaúma                   ,3,3.4,Inhaúma,12,INHAUMA                 ,1,TERRITORIAL,100,120,32572.81,32572.81,COMPRA E VENDA,2017
377636,142,Senador Camará            ,5,5.1,Bangu,17,BANGU                   ,14,TERRITORIAL,68.101428,13610.714285,31369.773571,469976.675714,COMPRA E VENDA,2017
377637,145,Senador Vasconcelos       ,5,5.2,Campo Grande,18,CAMPO GRANDE            ,8,TERRITORIAL,100,277.5,55033.22,55033.22,COMPRA E VENDA,2017
377638,65,Cachambi                  ,3,3.2,Méier,13,MEIER                   ,1,TERRITORIAL,100,1568,450177,450177,COMPRA E VENDA,2017
377639,66,Engenho de Dentro         ,3,3.2,Méier,13,MEIER                   ,2,TERRITORIAL,100,374,193076,193076,COMPRA E VENDA,2017
377640,59,Riachuelo                 ,3,3.2,Méier,13,MEIER                   ,2,TERRITORIAL,16.5,1734,143982.29,872619.94,COMPRA E VENDA,2017
377641,35,Maracanã                  ,2,2.2,Tijuca,9,VILA ISABEL             ,6,TERRITORIAL,35.613333,991.8,1022914.67,4776393.763333,COMPRA E VENDA,2017
377642,14,Santa Teresa              ,1,1.1,Centro,23,SANTA TEREZA            ,2,TERRITORIAL,75,941,410000,470000005,COMPRA E VENDA,2017
377643,151,Guaratiba                 ,5,5.4,Guaratiba,26,GUARATIBA               ,263,TERRITORIAL,93.557262,3868.136882,86023.023688,187637.276973,COMPRA E VENDA,2017
377644,117,Gardênia Azul             ,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,4,TERRITORIAL,77.0425,3199.75,213869225,465947155,COMPRA E VENDA,2017
377645,24,Copacabana                ,2,2.1,Zona Sul,5,COPACABANA              ,1,TERRITORIAL,0.88,444,106373.81,12087932.95,COMPRA E VENDA,2017
377646,127,Itanhangá                 ,4,4.2,Barra da Tijuca,24,BARRA DA TIJUCA         ,12,TERRITORIAL,91.666666,9303.75,1896708.333333,2053250,COMPRA E VENDA,2017
377647,126,Joá                       ,4,4.2,Barra da Tijuca,24,BARRA DA TIJUCA         ,6,TERRITORIAL,100,1114.166666,1568166.666666,1568166.666666,COMPRA E VENDA,2017
377648,4,Caju                      ,1,1.1,Centro,1,PORTUARIA               ,4,TERRITORIAL,100,92,45634.1925,45634.1925,COMPRA E VENDA,2017
377649,141,Bangu,5,5.1,Bangu,17,BANGU                   ,22,TERRITORIAL,97.727272,3303.590909,138486.603636,139721.40409,COMPRA E VENDA,2017
377650,97,Bancários                 ,3,3.7,Ilha do Governador,20,ILHA DO GOVERNADOR      ,3,TERRITORIAL,100,484.666666,162204.006666,162204.006666,COMPRA E VENDA,2018
377651,48,Vigário Geral             ,3,3.5,Penha,31,VIGARIO GERAL           ,2,TERRITORIAL,100,445,37011,37011,COMPRA E VENDA,2018
377652,100,Jardim Carioca            ,3,3.7,Ilha do Governador,20,ILHA DO GOVERNADOR      ,4,TERRITORIAL,100,374.25,172297355,172297355,COMPRA E VENDA,2018
377653,44,Penha Circular            ,3,3.5,Penha,11,PENHA                   ,2,TERRITORIAL,93.75,324,184134035,198084.58,COMPRA E VENDA,2018
377654,76,Irajá                     ,3,3.3,Madureira,14,IRAJA                   ,1,TERRITORIAL,50,906,174329.99,348659.98,COMPRA E VENDA,2018
377655,94,Pitangueiras              ,3,3.7,Ilha do Governador,20,ILHA DO GOVERNADOR      ,1,TERRITORIAL,100,680,303965.2,303965.2,COMPRA E VENDA,2018
377656,43,Penha                     ,3,3.5,Penha,11,PENHA                   ,3,TERRITORIAL,79.333333,245,94817.623333,127305.33,COMPRA E VENDA,2018
377657,106,Guadalupe                 ,3,3.6,Pavuna,22,ANCHIETA                ,1,TERRITORIAL,100,120,28828.78,28828.78,COMPRA E VENDA,2018
